epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,468.223,1.31719,3.34987,1.27685,0.50568,0.34813,0.3536,0.2345,1.22746,1.96424,1.22812,0.000194685,0.000194685,0.000194685
2,947.89,1.32743,2.00781,1.30398,0.52529,0.49416,0.46693,0.30985,1.19859,1.51915,1.21755,0.000386817,0.000386817,0.000386817
3,1414.4,1.30654,1.75819,1.28426,0.61639,0.50209,0.51076,0.33026,1.22133,1.50419,1.22354,0.000575068,0.000575068,0.000575068
4,1923.13,1.2868,1.66157,1.2695,0.62108,0.48598,0.52757,0.34868,1.18191,1.40298,1.21028,0.000570536,0.000570536,0.000570536
5,2434.08,1.25532,1.57069,1.24234,0.6202,0.53974,0.55645,0.36458,1.19624,1.41612,1.20494,0.000564715,0.000564715,0.000564715
6,2945.83,1.24441,1.53006,1.2438,0.63612,0.50459,0.53855,0.35685,1.15744,1.41465,1.20304,0.000558894,0.000558894,0.000558894
7,3455.84,1.2355,1.47399,1.23496,0.62246,0.55662,0.57803,0.38506,1.16916,1.32932,1.20374,0.000553073,0.000553073,0.000553073
8,3964.49,1.2262,1.4418,1.22695,0.66191,0.5654,0.60064,0.40069,1.15426,1.26638,1.19959,0.000547252,0.000547252,0.000547252
9,4472.55,1.20591,1.38936,1.21107,0.59647,0.57129,0.61576,0.40356,1.15469,1.25698,1.18094,0.00054143,0.00054143,0.00054143
10,4982.84,1.21191,1.38085,1.21345,0.61624,0.57458,0.59964,0.39806,1.13719,1.25497,1.19001,0.000535609,0.000535609,0.000535609
11,5499.49,1.19444,1.33782,1.20159,0.58253,0.57538,0.60432,0.38479,1.17332,1.25157,1.19307,0.000529788,0.000529788,0.000529788
12,5955.93,1.18345,1.31721,1.20258,0.63221,0.57809,0.61267,0.4134,1.14056,1.27949,1.17467,0.000523967,0.000523967,0.000523967
13,6380.51,1.18181,1.29638,1.19507,0.64925,0.62605,0.65467,0.447,1.1215,1.181,1.17596,0.000518146,0.000518146,0.000518146
14,6799.91,1.17481,1.26933,1.19043,0.66749,0.62653,0.66585,0.44999,1.14693,1.17452,1.17923,0.000512324,0.000512324,0.000512324
15,7219.43,1.16676,1.24365,1.18241,0.63166,0.58802,0.62089,0.42072,1.12234,1.21274,1.15816,0.000506503,0.000506503,0.000506503
16,7638.43,1.15835,1.21818,1.17473,0.63946,0.64108,0.65159,0.44222,1.12712,1.16512,1.16978,0.000500682,0.000500682,0.000500682
17,8057.71,1.16404,1.22294,1.17826,0.60938,0.62692,0.64893,0.43734,1.11514,1.1421,1.16223,0.000494861,0.000494861,0.000494861
18,8476.44,1.14879,1.19042,1.17613,0.67566,0.60283,0.64854,0.44079,1.11776,1.17465,1.16511,0.00048904,0.00048904,0.00048904
19,8895.28,1.14628,1.17848,1.16786,0.6674,0.60724,0.6593,0.45395,1.12835,1.14494,1.16984,0.000483218,0.000483218,0.000483218
20,9313.59,1.13271,1.16853,1.166,0.66454,0.64458,0.68637,0.48446,1.10617,1.12394,1.15143,0.000477397,0.000477397,0.000477397
21,9734.34,1.13428,1.16385,1.16718,0.70247,0.61325,0.6721,0.47188,1.10483,1.12046,1.15377,0.000471576,0.000471576,0.000471576
22,10169.4,1.12324,1.13458,1.15965,0.68951,0.61602,0.66245,0.44615,1.14512,1.13938,1.18707,0.000465755,0.000465755,0.000465755
23,10644.4,1.11356,1.12286,1.15562,0.61099,0.66705,0.65762,0.4438,1.11091,1.13296,1.15201,0.000459934,0.000459934,0.000459934
24,11062.7,1.11615,1.10323,1.15374,0.62618,0.67879,0.64619,0.44225,1.11477,1.11526,1.15998,0.000454112,0.000454112,0.000454112
25,11481.3,1.12619,1.09836,1.15821,0.65289,0.65806,0.67317,0.4699,1.09947,1.08017,1.15668,0.000448291,0.000448291,0.000448291
26,11899.6,1.11303,1.08949,1.15298,0.64794,0.67278,0.68886,0.48247,1.09966,1.10645,1.15391,0.00044247,0.00044247,0.00044247
27,12318.3,1.10407,1.07243,1.14394,0.73607,0.63883,0.70203,0.49037,1.09492,1.06416,1.1474,0.000436649,0.000436649,0.000436649
28,12736.8,1.0989,1.06389,1.14314,0.68322,0.62566,0.67868,0.47365,1.0975,1.08892,1.14419,0.000430828,0.000430828,0.000430828
29,13155.2,1.09587,1.05305,1.13874,0.72498,0.62771,0.68914,0.474,1.10482,1.09662,1.15167,0.000425006,0.000425006,0.000425006
30,13578.3,1.09235,1.04109,1.13417,0.72094,0.62801,0.69296,0.48548,1.0982,1.0818,1.15104,0.000419185,0.000419185,0.000419185
31,13998.6,1.09538,1.03665,1.14349,0.64028,0.67145,0.66522,0.46304,1.10126,1.09381,1.15291,0.000413364,0.000413364,0.000413364
32,14417.7,1.09392,1.01615,1.13387,0.68999,0.62291,0.67755,0.46663,1.0896,1.08767,1.1419,0.000407543,0.000407543,0.000407543
33,14837,1.09615,1.02,1.13535,0.73397,0.62267,0.6881,0.47481,1.11708,1.07675,1.15185,0.000401722,0.000401722,0.000401722
34,15255.7,1.07965,1.01158,1.13408,0.75331,0.60382,0.69818,0.48733,1.09498,1.06257,1.14635,0.0003959,0.0003959,0.0003959
35,15674.9,1.08054,1.00338,1.12802,0.72941,0.61454,0.69494,0.49086,1.09279,1.05847,1.14667,0.000390079,0.000390079,0.000390079
36,16094.7,1.07471,0.98559,1.12378,0.70504,0.65544,0.70145,0.48905,1.09742,1.04588,1.14202,0.000384258,0.000384258,0.000384258
37,16513.7,1.06415,0.97735,1.12271,0.66555,0.69285,0.71076,0.49136,1.10732,1.05476,1.15651,0.000378437,0.000378437,0.000378437
38,16935.8,1.06581,0.96942,1.11477,0.71237,0.62959,0.68,0.48566,1.10462,1.06372,1.15743,0.000372616,0.000372616,0.000372616
39,17367.3,1.07138,0.96085,1.12397,0.7464,0.63198,0.70517,0.48967,1.10204,1.06216,1.15637,0.000366794,0.000366794,0.000366794
40,17797.9,1.06288,0.95753,1.11522,0.74965,0.66727,0.72711,0.50741,1.09564,1.01788,1.14972,0.000360973,0.000360973,0.000360973
